date,0,1,2,3,4,5
2020-08-20,1.4636039612985106e-47,1.4799031039221092e-06,0.9999788801243977,1.857694383037657e-72,1.9639972499145703e-05,2.039313111321393e-103
2020-08-21,1.4541958146897919e-49,1.0614237628559659e-06,0.9999796779366485,6.908183381336114e-75,1.926063958919746e-05,7.872532330023884e-106
2020-08-24,2.5209870653625296e-62,6.295860721527721e-06,0.9999929836138381,2.3172494258932312e-88,7.205254400481759e-07,4.876459616879295e-122
2020-08-25,4.73229208530911e-59,6.762184669701361e-08,0.9999998485788265,1.2300700792810067e-85,8.379932593445782e-08,3.461415195611527e-119
2020-08-26,5.056194377531743e-58,4.779263766631361e-08,0.9999998286497793,1.7804827320655781e-84,1.235575825520832e-07,1.443839346265525e-117
2020-08-27,2.1890438177474747e-50,4.343445719829928e-07,0.9999538895744821,1.781173275390956e-77,4.567608094586325e-05,2.4646969940095468e-108
2020-08-28,1.482650374088086e-52,3.2981419363788053e-07,0.9999626601985594,8.904769538740293e-81,3.7009987247171916e-05,1.129928793818999e-110
2020-08-31,4.864677097240658e-51,4.944089608701285e-08,0.9999999382155923,1.0510408967626365e-85,1.2343511923465853e-08,5.5852594240127325e-121
2020-09-01,3.121420274332159e-52,5.329663991293037e-07,0.9999796402035165,1.2018391053765176e-91,1.982683008353173e-05,6.379644302493186e-122
2020-09-02,1.5893792951335533e-55,2.7455857462111836e-07,0.9999944562690884,3.147702752320063e-95,5.2691723370119925e-06,1.0364141659532822e-125
2020-09-03,3.633765387407723e-59,4.556253053366494e-07,0.999995897941514,6.645463241091855e-99,3.6464331812364013e-06,1.1103912175686368e-129
2020-09-04,3.424367611158308e-58,4.763538344055466e-08,0.9999986745981645,8.062862342430146e-98,1.2777664528355323e-06,1.1765728630436286e-128
2020-09-07,1.2710965841948092e-52,9.973359631564026e-06,0.9999409500600319,1.330914005989511e-92,4.9076580337272035e-05,2.5636679776469106e-122
2020-09-08,5.46346786483069e-49,0.00014603243141144087,0.9989692914650989,5.857358878936493e-88,0.0008846761034900834,1.9010565157401198e-118
2020-09-09,8.043711180319806e-44,0.00013104389346224504,0.9989106260875914,6.812101974084314e-83,0.0009583300189464202,1.1111244457797123e-113
2020-09-10,1.2827224012557839e-54,0.002997695467217002,0.9967092806949306,4.6600492051065096e-95,0.00029302383785200187,1.0561888583920968e-126
2020-09-11,3.6082647555669594e-47,0.0005204132649461577,0.9975710917338048,5.699887322979354e-88,0.0019084950012484155,1.1910339137090922e-119
2020-09-14,1.215621029463563e-56,7.342719494131446e-05,0.9998817696961902,1.442586736212218e-97,4.480310887006936e-05,2.4433859687531993e-130
2020-09-15,6.798966653346863e-49,2.3357160936189322e-05,0.9999371990469549,9.407304987619578e-90,3.944379210939193e-05,1.3793751073776734e-122
2020-09-16,3.416314484766074e-60,0.00011566551501540025,0.9998758168722855,1.839641958853341e-101,8.517612699289296e-06,7.93184227207143e-135
2020-09-17,1.5759909394993105e-48,0.0018117827092919894,0.9978503684444741,4.403483735265832e-90,0.0003378488462330971,8.225172781569095e-124
2020-09-18,3.3354633247396135e-57,4.790834097104916e-05,0.9999487910298841,6.5922541926655996e-99,3.3006291456392845e-06,6.029825213337953e-133
2020-09-21,5.9373509849398985e-56,2.4034346055843443e-05,0.9999622072680342,4.596612626957903e-97,1.3758385909985414e-05,1.1099387027223164e-131
2020-09-22,4.431661605955403e-48,0.0033948949450084242,0.9947393868408492,6.723474067359526e-90,0.0018657182141437292,6.121735206985496e-125
2020-09-23,5.847792721229009e-53,1.2859618930700216e-05,0.9999732589198413,2.2060700525559594e-95,1.3881461227598326e-05,4.826566434354673e-130
2020-09-24,1.7852403152732768e-51,8.188161464750609e-06,0.9999765014601957,1.681691369166319e-94,1.5310378340488523e-05,3.058857559444753e-128
2020-09-25,1.0717563230561248e-52,9.153402442081464e-05,0.999744848841373,3.6825270104826685e-96,0.00016361713420725744,1.157109288630888e-129
2020-09-28,3.3546812146485825e-44,0.00096136170850873,0.9988543213217894,5.861580664171855e-87,0.00018431696970113833,5.129626769648945e-119
2020-09-29,1.8442011960919168e-55,6.051343790881512e-05,0.999933710457624,3.3132467939157905e-98,5.7761044679732365e-06,4.419526995674908e-131
2020-09-30,9.424991841540236e-50,7.745479976975691e-05,0.9998697037399756,2.7731824678053563e-92,5.2841460254660804e-05,6.425436618441639e-125
2020-10-01,3.6736163528867777e-44,0.0005962462264930906,0.9987575233680754,1.9098672432819686e-86,0.0006462304054312553,2.253311237971157e-117
2020-10-02,5.024856260107567e-48,3.840330566714327e-05,0.9999011333323362,3.9972879912038975e-90,6.046336199643488e-05,1.4671633231335365e-121
2020-10-05,1.9789300466311385e-54,8.392079036929835e-06,0.9999790964275391,4.307902413518197e-97,1.2511493424740078e-05,3.379425459215852e-130
2020-10-06,1.4947798626979224e-51,1.6687961455483754e-06,0.9999936090088873,5.389023293403119e-94,4.7221949668373785e-06,7.378117196441247e-128
2020-10-07,1.5319062001315276e-59,7.215616470632562e-06,0.9999917543280643,1.6796889450776382e-102,1.0300554645173833e-06,1.7502412786360916e-137
2020-10-08,3.512012579050591e-52,2.3376097724934278e-06,0.9999955068660276,6.9987709731678764e-96,2.155524200649674e-06,1.7411034061520545e-130
2020-10-09,6.746371260857286e-53,3.0244362420956514e-06,0.9999945035373224,7.324616282171724e-97,2.4720264349929595e-06,8.569797995395551e-132
2020-10-12,8.088786629494563e-47,2.9727345241740153e-05,0.9999050892166341,4.633959562711532e-91,6.518343812256838e-05,2.0709159590262402e-125
2020-10-13,8.66124476267278e-44,0.0005471180005513658,0.9975303453397971,9.58528916882903e-87,0.0019225366596502405,3.1078863499107304e-118
2020-10-14,1.7232359591478808e-57,3.494960653598784e-05,0.9999633695917975,1.5490742646576942e-100,1.6808016664821423e-06,4.7082747661657336e-133
2020-10-15,1.2508847176320208e-57,6.482880537769477e-05,0.9999171578044067,2.629843433337418e-100,1.8013390215413467e-05,2.207986761119023e-133
2020-10-16,2.498076416402448e-53,2.2114811806314746e-05,0.9999686464932573,1.1605279720901805e-96,9.2386949362961e-06,4.017390295033322e-129
2020-10-19,8.728818070933025e-51,1.4017499090112195e-05,0.9999789525071231,4.251623783341249e-95,7.029993786647524e-06,6.352964915306348e-127
2020-10-20,9.045315050218133e-54,4.669594286100243e-06,0.9999808604356027,2.95659786814969e-97,1.4469970111278845e-05,2.252868805028238e-130
2020-10-21,1.9752316094542665e-50,1.1373248823385463e-06,0.999985069666706,1.6133186839830992e-93,1.379300841081104e-05,2.8993670113581685e-126
2020-10-22,3.4581497806064545e-52,6.563273979965365e-07,0.999989994884845,9.930078668802602e-97,9.3487877561782e-06,6.87374656161015e-129
2020-10-23,2.847330364048184e-42,0.0030194027418424664,0.9567123630767196,5.76173531044424e-87,0.04026823418143625,8.739852592385275e-120
2020-10-26,2.513131601096812e-53,4.605371285031474e-05,0.9999318108214363,1.5768931566830778e-98,2.213546571161703e-05,2.551200663273559e-133
2020-10-27,2.0067283858483405e-59,3.4791882391724376e-06,0.9999953745621842,3.989638697080827e-106,1.1462495756663154e-06,2.5158410815000148e-141
2020-10-28,1.0077460729109033e-54,1.3786226767089657e-05,0.9999742970850671,2.805644054620671e-101,1.1916688165650982e-05,4.9506115397276845e-136
2020-10-29,1.787859590844887e-50,7.2768116989484146e-06,0.9999854005222888,5.671754818313949e-97,7.322666011889871e-06,1.021591708529554e-131
2020-10-30,9.533084621572662e-57,2.171092180547316e-06,0.9999964347087537,6.105156745157724e-103,1.394199066656914e-06,2.322274181612499e-138
2020-11-02,2.344843504333009e-52,0.010594084491367992,0.9893077797037745,6.448692120066955e-95,9.813580485892871e-05,1.9445468008909092e-131
2020-11-03,1.9642964928274188e-50,0.07856571600195754,0.9210539358989613,1.1829807390475575e-90,0.0003803480990805068,1.6146845123625477e-127
2020-11-04,4.362816372707423e-46,0.005150706453895583,0.9933533800427529,3.356385424382857e-85,0.0014959135033526406,2.7112452477509354e-121
2020-11-05,2.7659043733041334e-41,0.0551128300111592,0.935543180226369,6.550454832882218e-81,0.009343989762472948,1.521018306287185e-116
2020-11-06,4.660809895198267e-52,0.040667096181441396,0.9589015586355328,8.104979189454284e-92,0.0004313451830259729,1.3473392658758136e-128
2020-11-09,7.383331016365629e-57,4.45778005677855e-05,0.9999513728460473,3.284374940511123e-96,4.0493533852264775e-06,6.4573244050625885e-134
2020-11-10,8.52532701175627e-55,7.592368690584938e-07,0.9999927954485844,1.4533310555363452e-94,6.445314547156504e-06,7.708295775367232e-132
2020-11-11,4.0704049700201596e-56,2.1439723767304716e-07,0.9999980595845536,3.911157390180742e-96,1.7260182095230667e-06,1.5359393913379988e-133
2020-11-12,3.021805817424816e-47,2.8309506219477676e-06,0.9999873704023541,3.40888165668887e-87,9.798647023630666e-06,1.8802816150972047e-123
2020-11-13,3.375672546886797e-55,2.2419281062144515e-07,0.9999986755455885,2.6448894259667038e-95,1.1002616009048736e-06,1.3568751026737625e-131
2020-11-16,1.2049551521374119e-49,1.9374935093595174e-06,0.9999401272062125,1.4915230594976674e-89,5.7935300277490684e-05,1.3875674516962002e-123
2020-11-17,2.445450609142563e-46,8.037684932794261e-07,0.9999461159449128,1.6470704531183923e-86,5.3080286593701455e-05,4.179355135435723e-120
2020-11-18,4.143647101866723e-50,3.988426385488289e-06,0.99988484642974,4.641209562326284e-90,0.00011116514387517921,5.477605578503475e-124
2020-11-19,8.716069290650065e-58,4.708175142265243e-07,0.9999965984485147,9.313959110219277e-98,2.930733970193497e-06,3.1612765821014517e-132
2020-11-20,2.590858670126154e-51,2.9021951256812317e-06,0.9999698647294619,2.8008956935663826e-91,2.7233075411872298e-05,1.0590653829568931e-125
2020-11-23,2.747293988140798e-55,1.3310086026260945e-07,0.9999973587853602,1.2609529899315613e-95,2.5081137787385805e-06,1.9767425405463998e-130
2020-11-24,5.874914368856326e-39,0.9999970921126612,9.234712674602179e-07,1.3049727302484171e-79,1.9844160699175016e-06,1.570201566795676e-112
2020-11-25,2.6784210893999412e-17,0.9567565262945202,2.014634690845294e-15,6.361873469159686e-56,0.04324347370547755,1.887075991133645e-85
2020-11-26,1.846802217302596e-26,0.785474094874402,0.00020945911507587795,7.853420967550149e-65,0.2143164460105237,1.6028086554833966e-94
2020-11-27,2.8807111172006166e-23,0.10023806500816963,8.478685191785403e-09,3.263199389404875e-61,0.8997619265131435,6.611544694756573e-89
2020-11-30,2.1645864649854703e-26,0.07710840415407823,5.30712958075535e-10,4.552604409400497e-65,0.9228915953152085,1.2530401710529768e-93
