date,0,1,2,3,4
2015-08-21,3.7862194098791186e-09,5.003206093569181e-16,4.6340690175252796e-15,1.240625142898492e-122,0.9999999962137771
2015-08-24,4.269755319215476e-09,1.7539011950088662e-13,9.86803558131894e-15,8.391720088581075e-99,0.9999999957300609
2015-08-25,2.7936184219735895e-06,1.467281378075211e-11,1.7390082876530075e-13,2.920059210414439e-89,0.9999972063667317
2015-08-26,2.795572456902431e-09,6.611864196486121e-14,3.0897940389584576e-15,1.2447409416766592e-99,0.999999997204359
2015-08-27,9.72392346381272e-09,4.658159344718936e-13,3.3331209172630135e-14,7.561156015580234e-98,0.9999999902755778
2015-08-28,2.9528275678295346e-06,6.411332077237815e-08,9.202781792672367e-13,2.0262820476857457e-68,0.9999969830581924
2015-08-31,6.444142059083436e-06,8.990997136287497e-12,1.2016161572500501e-12,6.355336741242561e-91,0.9999935558477497
2015-09-01,3.016494124862516e-08,2.2202060413156885e-19,9.044510127181535e-16,6.139466229905785e-141,0.9999999698350561
2015-09-02,6.4206247914434665e-06,5.496582012049471e-16,3.764359484464578e-13,1.2460533612854089e-121,0.9999935793748301
2015-09-03,2.694416324772008e-07,1.1993044671968428e-11,5.162313722661221e-14,2.026988873654538e-95,0.9999997305463219
2015-09-04,1.377335264200374e-06,1.961812053743636e-12,1.3141078181562674e-13,1.9589225178898989e-100,0.9999986226626411
2015-09-07,1.5122151964719119e-05,1.5533335786204513e-10,2.169565172126719e-12,4.6613167467417325e-92,0.9999848776905323
2015-09-08,6.454376464974229e-07,4.3532228482855883e-13,2.4586848056623346e-14,2.2506769036666e-108,0.9999993545618922
2015-09-09,9.934026325401461e-11,7.904990579394551e-17,3.2388443038401467e-16,3.97257477730365e-117,0.999999999900659
2015-09-10,1.3112686971693778e-08,5.275717645389935e-14,2.7022052782630342e-15,1.1355529192292096e-103,0.9999999868872572
2015-09-11,2.2074713347362673e-06,1.2010477377279832e-20,2.3918224377263516e-13,2.077354355166404e-152,0.9999977925284249
2015-09-14,0.00018713989523935673,9.348685206814625e-15,8.920765085781325e-11,9.06724781820869e-124,0.9998128600155425
2015-09-15,3.845178529666854e-05,1.2464115649063298e-12,9.863888218782365e-12,6.120049745114306e-104,0.9999615482035915
2015-09-16,0.00012174508620291765,1.1693166768409777e-10,1.1862828863293941e-09,8.87094187268606e-86,0.9998782536105828
2015-09-17,0.0005129994320629157,1.3145542927160975e-16,7.716803160929886e-10,1.6037804197735507e-121,0.9994869997962549
